blue_wins,first_blood,dragons,heralds,towers_destroyed,wards_placed,wards_destroyed,experience,kills,assists,gold,minions,avg_level,elite_monsters,total_jungle_minions_killed
0,1,0,1,0,-3,2,701,2,1,1765,33,0.40000000000000036,1,3
0,1,-1,1,0,-2,3,269,0,0,540,35,0,0,-14
1,0,-1,0,0,-1,-1,-442,3,4,862,-18,-0.20000000000000018,-1,0
1,1,1,0,0,20,2,1659,4,8,2761,20,0,1,4
0,0,-1,0,0,-70,-2,-853,-5,-2,-1249,13,-0.40000000000000036,-1,17
1,0,-1,0,0,18,-2,655,0,-2,-75,27,0,-1,8
1,1,1,0,0,1,2,4777,9,6,5805,52,1,1,20
0,0,-1,1,0,9,-1,-305,-2,-8,-810,-14,0,0,7
0,1,0,1,0,107,-1,706,1,4,1034,-2,0.20000000000000018,1,4
1,1,0,-1,0,1,-7,-2856,-4,-4,-2595,-29,-0.8000000000000007,-1,-1
1,0,-1,0,0,6,4,-73,-1,2,-334,5,0.20000000000000018,-1,7
1,1,1,1,1,-2,3,2161,7,4,3806,2,0.40000000000000036,2,0
0,0,0,0,0,21,1,-2547,-5,-5,-2711,-10,-0.40000000000000036,0,-21
1,1,0,0,0,7,0,1754,4,1,2551,47,0.20000000000000018,0,2
0,1,1,0,0,13,9,-446,3,6,66,-41,-0.20000000000000018,1,-12
0,0,1,0,0,-20,2,727,5,10,2242,-12,0.40000000000000036,1,5
0,0,0,1,0,0,-2,-213,-3,-6,-893,21,0,1,7
0,0,-1,0,0,16,0,-152,-3,-6,-1208,-18,0,-1,13
1,0,-1,0,0,-4,2,2566,8,6,4003,40,0.40000000000000036,-1,0
1,0,1,0,0,4,-2,2149,2,-2,819,34,0.40000000000000036,1,-9
1,1,0,-1,0,60,4,1935,6,9,4009,47,0.40000000000000036,-1,3
0,0,1,0,0,0,-2,-1001,-1,-1,-259,-26,-0.40000000000000036,1,-6
0,1,0,0,0,11,0,-738,3,6,1728,32,-0.20000000000000018,0,-16
0,0,-1,1,0,0,3,393,0,-3,474,34,0.39999999999999947,0,12
0,1,0,0,0,2,0,328,6,3,1863,-2,0,0,-17
0,0,-1,0,0,23,-1,-2306,-6,-6,-3846,-53,-0.40000000000000036,-1,-4
0,0,-1,0,0,-4,0,-1592,-2,-4,-2373,-23,-0.20000000000000018,-1,-29
1,0,1,0,0,1,-3,-204,1,5,218,-5,-0.20000000000000018,1,-6
1,1,0,0,0,11,1,1929,2,2,2208,20,0.6000000000000005,0,19
0,0,1,0,0,27,-2,-373,-2,-7,-1440,-24,0,1,12
0,0,1,0,0,13,-3,-1743,-2,6,-845,-24,-0.39999999999999947,1,-32
0,0,-1,0,0,4,-3,-2694,-4,-7,-2635,-68,-0.5999999999999996,-1,4
1,0,1,1,0,17,1,2414,5,7,2817,17,0.5999999999999996,2,-5
1,0,1,1,0,-3,1,2497,4,1,2812,-3,0.20000000000000018,2,15
0,0,-1,0,0,-7,-1,-2759,-5,-8,-3864,-45,-0.6000000000000005,-1,-4
1,0,1,0,0,-2,0,955,-1,1,334,3,0.40000000000000036,1,16
1,1,1,0,0,-4,2,2436,1,-3,1909,50,0.5999999999999996,1,4
0,1,0,0,0,-19,0,-358,0,-1,-346,27,-0.20000000000000018,0,-23
1,1,-1,0,0,11,-2,5396,10,9,5802,63,1.3999999999999995,-1,23
1,1,1,0,0,2,-1,1048,2,1,1085,8,0.40000000000000036,1,-1
0,1,1,0,0,20,1,-1807,-7,-5,-2383,15,-0.6000000000000005,1,-3
1,0,0,1,0,15,3,1895,-1,-1,306,6,0.40000000000000036,1,12
0,1,-1,0,0,0,-3,-1850,-2,-1,-1568,-6,-0.40000000000000036,-1,-20
1,0,1,-1,0,-22,1,-1156,-2,-10,-1419,7,-0.20000000000000018,0,4
1,1,-1,1,0,9,4,1634,4,3,2263,9,0.39999999999999947,0,-8
1,1,-1,0,0,0,0,1225,4,7,1374,13,0.40000000000000036,-1,-8
1,0,1,0,0,-48,3,3444,10,17,4301,15,0.8000000000000007,1,-4
1,1,0,0,0,-2,-3,3713,5,3,3905,39,0.7999999999999998,0,2
1,0,-1,0,0,-1,0,-2318,-5,-5,-2919,-13,-0.40000000000000036,-1,-9
1,1,1,0,0,7,-5,2787,6,8,2923,23,0.6000000000000005,1,11
0,0,-1,-1,0,4,-2,-951,-3,-6,-1059,-4,-0.20000000000000018,-2,6
0,0,-1,1,0,-2,-1,-14,-2,-4,-406,35,0,0,-4
1,0,1,0,0,5,1,1251,4,5,1143,22,0,1,-16
1,0,-1,0,0,42,1,266,2,4,736,20,-0.20000000000000018,-1,12
0,1,-1,0,0,-2,-1,-3750,-9,-9,-4816,-63,-0.6000000000000005,-1,20
1,0,1,1,0,-18,-1,3949,5,1,3977,28,1.1999999999999993,2,25
1,0,-1,0,0,-2,3,3357,4,6,3026,43,0.5999999999999996,-1,0
0,0,1,0,0,6,1,-2426,-8,-14,-4262,-34,-0.40000000000000036,1,11
0,1,-1,1,1,3,-1,772,3,4,2476,-21,0,0,-7
0,0,-1,-1,0,-24,0,-3206,-6,-7,-3545,-7,-0.8000000000000007,-2,-14
0,0,-1,1,0,-14,0,-2979,-5,-8,-4324,-40,-0.5999999999999996,0,-6
1,0,1,0,0,2,1,-837,-1,1,-496,5,-0.20000000000000018,1,17
0,0,-1,0,0,1,1,-1442,-2,-1,-1620,15,-0.40000000000000036,-1,-24
1,1,-1,0,0,4,-1,-1607,-4,-4,-1334,3,-0.40000000000000036,-1,4
0,1,0,0,0,21,-5,-217,1,-5,-796,-21,0.20000000000000018,0,-12
1,1,1,0,0,22,-15,1804,4,0,1398,5,0.6000000000000005,1,-16
1,1,0,0,0,-1,2,1938,2,1,3005,32,0.5999999999999996,0,31
0,1,0,0,0,0,0,-3287,-5,-4,-3156,-16,-0.40000000000000036,0,-14
1,0,1,1,0,5,-4,383,-2,-4,-473,22,0.40000000000000036,2,9
0,0,0,-1,0,-8,2,-2282,-5,-8,-3397,-29,-0.5999999999999996,-1,-13
0,0,-1,0,0,27,-1,-1514,-3,-7,-1937,18,-0.20000000000000018,-1,-31
1,1,0,0,0,22,4,2661,6,7,3765,25,0.40000000000000036,0,1
0,1,1,-1,0,-3,-1,-690,3,2,384,-26,0,0,4
1,1,1,0,0,0,-3,682,6,8,2708,-7,0,1,-7
0,1,0,0,0,-1,4,-1462,-4,-4,-2427,-15,-0.20000000000000018,0,-10
1,1,1,0,0,-30,1,684,3,5,1901,34,0.40000000000000036,1,-23
1,0,1,-1,0,22,-1,1699,5,7,2480,14,0.40000000000000036,0,20
0,0,-1,1,0,2,-4,-2467,-9,-13,-3581,-29,-0.40000000000000036,0,21
1,1,1,1,0,20,1,1378,5,9,2911,-12,0.40000000000000036,2,3
0,0,-1,1,0,0,-1,-1370,-3,-2,-1245,-17,-0.20000000000000018,0,-3
0,0,1,-1,0,1,2,-497,2,2,166,3,-0.20000000000000018,0,-3
0,0,0,0,-1,-5,5,-3115,-5,-4,-6309,-101,-0.7999999999999998,0,8
0,0,-1,0,0,-125,0,-2555,-6,-1,-2047,6,-0.7999999999999998,-1,-17
0,1,-1,0,0,-4,1,-1509,-1,2,-1464,-25,-0.20000000000000018,-1,-7
1,1,1,1,0,-26,1,-302,2,0,874,2,-0.20000000000000018,2,0
0,1,1,0,0,-27,2,183,-3,-6,-627,7,0,1,19
0,0,0,0,0,4,0,-292,0,1,-334,-24,0,0,8
0,1,1,0,0,3,-1,1210,-1,-8,449,63,0.20000000000000018,1,4
0,0,0,0,0,-7,2,-73,-3,-8,-780,9,0,0,17
0,0,0,1,0,2,2,1064,-2,-3,-205,17,0.40000000000000036,1,33
0,0,0,0,0,0,4,-1585,-1,0,-1731,-42,-0.20000000000000018,0,4
0,0,1,0,0,-13,-1,-188,1,-2,947,25,-0.20000000000000018,1,5
0,1,-1,0,0,-2,0,-1111,-1,5,-713,8,0,-1,-13
1,1,1,0,0,2,-1,-1140,-1,-1,1171,16,-0.40000000000000036,1,10
0,1,-1,0,0,-6,-1,-307,-2,-1,-459,-5,-0.39999999999999947,-1,12
1,1,-1,0,0,8,1,1388,6,8,2673,-7,0.6000000000000005,-1,-20
1,1,1,0,0,3,1,-1675,2,7,-251,-14,-0.40000000000000036,1,-12
0,1,-1,-1,0,14,-2,634,3,3,534,-32,0.40000000000000036,-2,-9
0,0,1,0,0,0,-2,-2248,-6,-5,-4005,-60,-0.8000000000000007,1,13
1,1,1,1,0,-2,-1,86,-2,-4,-318,23,0.20000000000000018,2,20
0,1,-1,1,0,-3,2,2118,3,2,2682,38,0.6000000000000005,0,9
0,1,1,0,0,2,3,1763,1,3,2092,53,0.5999999999999996,1,-1
1,0,0,0,0,2,-2,2148,3,3,2300,41,0.20000000000000018,0,9
1,1,1,0,0,-1,-1,1346,3,-1,2642,53,0.40000000000000036,1,-10
1,1,-1,0,0,2,2,220,1,4,2833,64,-0.20000000000000018,-1,-21
0,1,-1,0,0,0,3,-1059,0,0,-336,0,-0.40000000000000036,-1,-31
0,0,1,0,-1,1,-1,-3713,-7,-5,-5136,-75,-1,1,9
1,0,0,0,0,1,0,3579,6,0,1872,23,0.8000000000000007,0,4
0,0,1,-1,-1,1,0,-450,-2,-4,-1048,-19,0,0,16
1,0,1,0,0,-26,0,-932,-1,-7,-88,20,0,1,-2
1,0,0,0,0,-3,0,-1008,-5,-1,-1427,-19,-0.20000000000000018,0,28
1,0,0,1,0,3,-3,-1603,-3,-9,-2440,-39,0,1,-3
0,1,-1,0,0,9,-1,-2256,-4,-8,-1614,14,-0.6000000000000005,-1,-17
1,0,1,0,0,-4,3,73,-3,-4,-1075,21,0,1,9
